Datetime,Water Level (m)
2024-07-31 06:00:00,-0.06431525
2024-07-31 07:00:00,-0.00840466
2024-07-31 08:00:00,0.13924637
2024-07-31 09:00:00,0.3488962
2024-07-31 10:00:00,0.6000518
2024-07-31 11:00:00,0.8111252
2024-07-31 12:00:00,0.8759056
2024-07-31 13:00:00,0.80762094
2024-07-31 14:00:00,0.64323705
2024-07-31 15:00:00,0.38563946
2024-07-31 16:00:00,0.056964763
2024-07-31 17:00:00,-0.21451588
2024-07-31 18:00:00,-0.28014624
2024-07-31 19:00:00,-0.16512507
2024-07-31 20:00:00,0.043895055
2024-07-31 21:00:00,0.35313573
2024-07-31 22:00:00,0.7426042
2024-07-31 23:00:00,1.0869617
2024-08-01 00:00:00,1.2893797
2024-08-01 01:00:00,1.3571837
2024-08-01 02:00:00,1.2947555
2024-08-01 03:00:00,1.046963
2024-08-01 04:00:00,0.64280957
2024-08-01 05:00:00,0.22568735
2024-08-01 06:00:00,-0.05281531
2024-08-01 07:00:00,-0.14848271
2024-08-01 08:00:00,-0.111703284
2024-08-01 09:00:00,0.043242138
2024-08-01 10:00:00,0.32387155
2024-08-01 11:00:00,0.6445865
2024-08-01 12:00:00,0.8898865
2024-08-01 13:00:00,0.97444725
2024-08-01 14:00:00,0.9199915
2024-08-01 15:00:00,0.738079
2024-08-01 16:00:00,0.40603516
2024-08-01 17:00:00,0.015235431
2024-08-01 18:00:00,-0.26456797
2024-08-01 19:00:00,-0.3594492
2024-08-01 20:00:00,-0.27220744
2024-08-01 21:00:00,-0.011899895
2024-08-01 22:00:00,0.39089608
2024-08-01 23:00:00,0.8227768
2024-08-02 00:00:00,1.1867617
2024-08-02 01:00:00,1.4168247
2024-08-02 02:00:00,1.481732
2024-08-02 03:00:00,1.3540391
2024-08-02 04:00:00,1.0179094
2024-08-02 05:00:00,0.5468287
2024-08-02 06:00:00,0.08296415
2024-08-02 07:00:00,-0.21607645
2024-08-02 08:00:00,-0.2773429
2024-08-02 09:00:00,-0.20071907
2024-08-02 10:00:00,-0.028447876
2024-08-02 11:00:00,0.2889134
2024-08-02 12:00:00,0.6893783
2024-08-02 13:00:00,0.97753817
2024-08-02 14:00:00,1.055005
2024-08-02 15:00:00,0.978839
2024-08-02 16:00:00,0.7458212
2024-08-02 17:00:00,0.3210951
2024-08-02 18:00:00,-0.13849145
